SCHNAME	N_PUPILS	KS1	KS2	P_SEN
Christ Church Church of England Primary School	167	14.7	25.6	47
Christ Church Church of England Primary School, Shooters Hill	190	18.0	31.2	24
Conway Primary School	427	14.0	28.0	29
De Lucy Primary School	507	13.7	28.5	14
Deansfield Primary School	487	16.3	31.0	30
Ealdham Primary School	357	14.4	29.4	26
Eglinton Primary School	536	15.0	29.3	36
Eltham Church of England Primary School	308	16.0	29.8	15
Fossdene Primary School	374	13.0	27.2	38
Foxfield Primary School	576	14.7	27.4	27
Gallions Mount Primary School	437	13.4	27.7	36
Gordon Primary School	452	18.3	31.9	15
Greenacres Primary School and Language Impairment Unit	252	13.0	25.7	43
Greenslade Primary School	239	13.8	30.0	36
Haimo Primary School	288	15.5	29.2	20
Halstow Primary School	323	18.0	32.3	17
Hawksmoor School	609	14.8	31.6	18
Henwick Primary School	352	14.3	27.7	32
Heronsgate Primary School	763	15.5	30.2	20
Holy Family Catholic Primary School	199	14.9	30.5	17
Horn Park Primary School	381	14.2	29.3	23
Invicta Primary School	290	14.8	29.2	59
James Wolfe Primary School and Centre for the Deaf	460	15.0	29.7	30
Kidbrooke Park Primary School	382	15.1	29.0	40
Linton Mead Primary School	489	14.0	27.8	20
Meridian Primary School	238	14.9	29.9	32
Middle Park Primary School	399	13.8	27.8	60
Millennium Primary School	434	14.0	27.5	38
Montbelle Primary School	459	14.6	27.8	29
Morden Mount Primary School	373	13.8	30.0	27
Mulgrave Primary School	484	13.2	29.2	32
Nightingale Primary School	233	16.3	29.7	19
Notre Dame Catholic Primary School	207	15.6	29.0	30
Our Lady of Grace Catholic Primary School	207	15.7	30.4	16
Plumcroft Primary School	637	13.7	27.1	27
Rockliffe Manor Primary School	247	15.9	27.8	18
St Alfege with St Peter's Church of England Primary School	232	14.3	28.2	30
St Joseph's Catholic Primary School	185	14.7	29.7	31
St Margaret Clitherow Catholic Primary School	257	15.3	29.8	31
St Margaret's Church of England Primary School	300	15.3	28.9	36
Saint Mary Magdalene Church of England Primary School	372	16.9	31.3	13
St Mary's Catholic Primary School	471	16.0	29.7	13
St Patrick's Catholic Primary School	350	13.5	29.8	31
St Peter's Catholic Primary School	208	14.7	31.9	13
St Thomas A Beckett Roman Catholic Primary School	277	14.8	30.8	40
St Thomas More Catholic Primary School	205	15.2	29.1	18
Sherington Primary School	474	14.5	30.4	32
South Rise Primary School	657	13.5	30.2	27
Thorntree Primary School	250	13.6	27.6	20
Timbercroft Primary School	415	14.3	28.0	33
Windrush Primary School	343	15.6	31.9	10
Wingfield Primary School	211	15.4	29.0	19
Woodhill Primary School	486	14.1	29.8	37
Wyborne Primary School	452	15.2	30.1	19
Baden-Powell School	236	15.0	26.6	31
Benthal Primary School	442	15.3	28.2	31
Berger Primary School	491	13.6	27.3	23
Betty Layward Primary School	460	15.8	29.8	36
Brook Community Primary School	489	13.5	27.0	23
Burbage School	302	13.1	28.0	36
Colvestone Primary School	231	12.7	27.1	39
Daubeney Primary School	631	14.0	29.1	12
De Beauvoir Primary School	370	14.1	27.9	18
Gainsborough Primary School	506	12.6	26.2	40
Gayhurst Community School	578	14.7	28.9	34
Grasmere Primary School	244	15.9	29.9	30
Grazebrook Primary School	486	15.6	30.0	15
Harrington Hill Primary School	298	14.3	28.3	23
Holmleigh Primary School	243	13.3	27.0	18
Holy Trinity Church of England Primary School	210	14.1	29.5	16
Jubilee Primary School	490	12.7	27.1	45
Kingsmead Primary School	245	13.8	27.6	38
Lauriston School	399	16.7	30.0	20
London Fields Primary School	416	15.3	28.4	40
Lubavitch Ruth Lunzer Girls Primary School	148	12.0	27.9	15
Mandeville Primary School	361	12.6	26.9	56
Millfields Community School	629	14.3	29.9	22
Morningside Primary School	448	14.9	27.8	22
Nightingale Primary School	238	13.4	28.9	38
Northwold Primary School	457	13.8	31.3	56
Orchard Primary School	484	13.8	29.2	36
Our Lady and St Joseph Roman Catholic Primary School	239	14.9	29.8	26
Parkwood Primary School	239	14.4	29.1	63
Princess May Primary School	444	13.9	27.9	39
Queensbridge Primary School	373	14.1	30.0	37
Randal Cremer Primary School	463	15.0	29.2	24
Rushmore Primary School	480	14.2	28.4	18
St. Dominic's Catholic Primary School	468	14.3	27.4	30
St John and St James CofE Primary School	271	15.0	29.5	35
St John of Jerusalem Church of England Primary School	222	16.1	29.0	27
St John the Baptist Voluntary Aided Church of England Primary School	345	15.3	30.0	36
St Mary's Church of England Primary School, Stoke Newington	217	14.9	28.3	43
St Matthias Church of England Primary School	257	16.0	27.9	38
St Monica's Roman Catholic Primary School	236	14.3	28.0	15
St Paul's with St Michael's Primary School	210	13.2	27.6	23
St Scholastica's Catholic Primary School	240	14.4	29.8	32
Sebright School	439	14.6	27.3	36
Shacklewell Primary School	405	13.7	30.2	12
Simon Marks Jewish Primary School	204	15.5	29.0	33
Sir Thomas Abney School	414	13.1	28.8	19
Southwold Primary School	415	12.9	30.7	33
Springfield Community Primary School	261	14.3	29.7	36
Thomas Fairchild Community School	346	13.3	27.2	40
Tyssen Community Primary School	455	13.2	27.7	26
Whitmore Primary School	354	14.3	27.3	34
William Patten Primary School	464	15.4	29.9	21
Woodberry Down Community Primary School	442	14.9	27.9	43
Addison Primary School	435	15.3	29.9	27
All Saints CofE Primary School	227	17.0	30.0	32
ARK Bentworth Primary Academy	225	14.8	27.5	24
Avonmore Primary School	229	13.9	27.8	16
Brackenbury Primary School	512	14.9	29.5	22
Canberra Primary School	413	13.9	24.6	26
Flora Gardens Primary School	274	16.0	29.5	42
Fulham Primary School	289	13.8	26.3	44
Good Shepherd RC Primary School	262	15.1	32.8	27
Greenside Primary School	223	14.7	28.6	32
Holy Cross RC School	339	15.4	30.4	25
John Betts Primary School	238	16.3	31.7	14
Kenmont Primary School	230	14.4	29.3	8
Langford Primary School	260	14.3	26.2	23
Larmenier & Sacred Heart Catholic Primary School	473	16.2	31.0	18
Lena Gardens Primary School	216	14.7	28.4	27
Melcombe Primary School	363	15.1	29.5	36
Miles Coverdale Primary School	248	14.1	31.6	28
New King's Primary School	212	15.0	29.8	32
Normand Croft Community School for Early Years and Primary Education	287	15.8	28.9	26
Old Oak Primary School	385	14.3	28.2	55
Pope John RC School	264	15.8	30.7	40
Queen's Manor School and Special Needs Unit	210	10.1	24.8	70
St Augustine's RC Primary School	206	16.2	30.6	26
St Johns Walham Green Church of England Primary School	312	15.1	30.4	14
St Mary's Catholic Primary School	227	16.3	28.8	27
St Paul's CofE Primary School	232	13.3	27.8	43
St Peter's Primary School	240	16.3	30.2	26
St Stephen's CofE Primary School	262	16.0	32.2	17
St Thomas of Canterbury Catholic Primary School	364	15.8	29.7	22
Sir John Lillie Primary School	470	14.4	27.0	27
Sulivan Primary School	292	12.3	28.8	37
Wendell Park Primary School	477	13.3	27.5	26
Wormholt Park Primary School	431	14.3	28.0	65
Ambler Primary School	247	13.4	28.2	24
Ashmount Primary School	333	15.4	27.4	28
Blessed Sacrament RC Primary School	215	14.8	28.3	26
Canonbury Primary School	453	16.5	31.2	13
Christ The King RC Primary School	401	15.2	28.6	13
Clerkenwell Parochial CofE Primary School	198	15.0	30.1	33
Copenhagen Primary School	238	13.1	25.2	40
Drayton Park Primary School	308	14.3	28.2	12
Duncombe Primary School	467	14.7	27.8	31
Gillespie Primary School	232	15.5	29.7	26
Grafton Primary School	462	14.9	31.0	63
Hanover Primary School	336	16.4	29.9	41
Hargrave Park Primary School	232	12.5	27.4	36
Highbury Quadrant Primary School	363	14.2	28.7	28
Hugh Myddelton Primary School	422	15.3	27.2	24
Hungerford Primary School and Children's Centre	457	14.5	28.9	39
Laycock Primary School	398	13.4	26.4	57
Montem Primary School	432	13.8	29.4	28
Moreland Primary School	210	15.4	27.8	27
The New North Academy	410	12.3	27.0	48
Newington Green Primary School	411	14.1	28.2	26
Pakeman Primary School	327	14.5	28.3	31
Poole's Park Primary School	328	12.5	26.7	27
Prior Weston Primary School and Children's Centre	467	15.1	28.6	9
Robert Blair Primary School	256	13.7	26.2	36
Rotherfield Primary School	375	14.4	28.1	44
Sacred Heart RC Primary School	394	16.4	29.4	20
St Andrew's (Barnsbury) Church of England Primary School	191	15.9	27.4	27
St Joan of Arc RC Primary School	428	14.7	29.5	26
St John Evangelist RC Primary School	301	14.9	27.8	39
St John's Highbury Vale CofE Primary School	203	16.9	32.1	23
St John's Upper Holloway CofE Primary School	219	13.5	28.0	36
St Joseph's RC Primary School	441	14.4	28.9	22
St Jude and St Paul's CofE Primary School	202	13.2	26.4	18
St Luke's CofE Primary School	240	15.0	28.8	13
St Mark's CofE Primary School	197	15.1	28.8	32
St Mary's CofE Primary School	179	14.7	28.4	15
St Peter and St Paul RC Primary School	230	14.5	28.2	29
Thornhill Primary School	460	14.0	29.7	38
Tufnell Park Primary School	308	14.2	28.9	27
Vittoria Primary School	193	15.0	26.8	47
William Tyndale Primary School	442	15.4	30.7	12
Winton Primary School	212	12.5	27.8	40
Yerbury Primary School	476	15.4	30.6	7
Ashburnham Community School	188	15.8	27.2	15
Avondale Park Primary School	412	13.1	28.7	32
Barlby Primary School	331	13.1	29.8	20
Bevington Primary School	332	14.5	28.9	35
Bousfield Primary School	431	15.0	31.3	2
Christ Church CofE Primary School	208	15.7	31.6	18
Colville Primary School	315	14.2	30.8	32
Fox Primary School	330	16.9	34.1	28
Holy Trinity CofE Primary School	226	15.3	29.7	24
Marlborough Primary School	298	13.0	26.6	28
Middle Row Primary School	229	14.5	27.9	41
Oratory Roman Catholic Primary School	207	17.1	32.8	12
Our Lady of Victories RC Primary School	233	18.3	32.4	0
Oxford Gardens Primary School	454	14.7	28.4	11
Park Walk Primary School	235	14.3	28.9	24
St Barnabas and St Philip's CofE Primary School	209	14.9	31.2	11
St Charles RC Primary School	338	16.1	30.0	28
St Clement and St James CofE Primary School	225	16.1	28.4	35
St Cuthbert with St Matthias CofE Primary School	216	13.5	28.4	20
Saint Francis of Assisi Catholic Primary School	338	13.9	28.7	16
St Joseph RC Primary School	223	14.4	31.0	16
St Mary Abbots CofE Primary School	208	16.6	29.2	13
Saint Mary RC Primary School	401	15.2	27.8	23
St Thomas' CofE Primary School	228	13.3	29.7	33
Servite RC Primary School	235	14.7	29.6	28
Thomas Jones Primary School	236	15.9	31.8	27
Allen Edwards Primary School	450	13.7	29.0	23
Archbishop Sumner Church of England Primary School	264	16.9	29.6	49
Ashmole Primary School	232	13.9	26.9	23
Bonneville Primary School	409	14.1	28.9	31
Christ Church , Streatham Church of England Primary School	205	15.1	28.0	17
Christ Church Church of England Primary School	172	13.5	29.1	53
Clapham Manor Primary School	448	14.9	29.1	25
Corpus Christi Catholic Primary School	399	15.7	32.0	22
Crown Lane Primary School	496	13.9	27.1	35
Elm Wood School	326	14.3	31.3	49
Fenstanton Primary School	612	13.3	28.2	48
Glenbrook Primary School	473	13.1	26.4	36
Granton Primary School	458	14.2	29.4	33
Heathbrook Primary School	416	15.2	28.5	29
Henry Cavendish Primary School	711	14.4	31.5	36
Henry Fawcett Primary School	337	12.3	29.4	20
Herbert Morrison Primary School	236	14.5	27.9	20
Hill Mead Primary School	459	12.9	27.1	56
Hitherfield Primary School	563	13.5	28.8	30
Holy Trinity Church of England Primary School	390	15.1	29.7	18
Immanuel and St Andrew Church of England Primary School	378	14.2	28.7	11
Iqra Primary School	159	14.3	29.7	41
Jessop Primary School	410	15.8	28.8	20
Jubilee Primary School	433	13.8	27.5	25
Julian's School	433	15.0	29.9	25
Kings Avenue School	467	13.1	27.4	33
Kingswood Primary School	747	14.9	30.3	43
Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism)	439	11.4	25.9	38
Loughborough Primary School	469	15.4	28.6	23
Macaulay Church of England Primary School	229	16.0	30.8	33
Oasis Academy Johanna	230	15.1	28.6	29
The Orchard School	174	13.8	30.0	29
Paxton Primary School	236	16.0	31.6	40
Reay Primary School	247	15.3	29.6	21
Richard Atkins Primary School	426	14.4	29.0	33
Rosendale Primary School	682	15.2	29.5	34
St Andrew's Catholic Primary School	473	15.9	30.4	17
St Andrew's Church of England Primary School	206	13.8	29.7	39
St Anne's Catholic Primary School	410	14.2	28.5	34
St Bernadette Catholic Junior School	242	15.0	28.4	49
St Helen's Catholic School	285	13.8	26.7	9
St John the Divine Church of England Primary School	218	18.2	30.9	6
St John's Angell Town Church of England Primary School	236	14.0	29.2	28
St Jude's Church of England Primary School	200	15.9	31.4	39
St Leonard's Church of England Primary School	210	12.7	29.0	37
St Luke's Church of England Primary School	195	13.8	29.0	32
St Mark's Church of England Primary School	191	14.8	28.7	35
St Mary's Roman Catholic Primary School	358	15.1	29.2	32
St Saviour's Church of England Primary School	203	16.5	29.1	38
St Stephen's Church of England Primary School	239	13.6	28.7	36
Stockwell Primary School	518	15.0	27.2	12
Streatham Wells Primary School	242	15.3	29.8	24
Sudbourne Primary School	360	15.4	30.4	24
Sunnyhill Primary School	553	14.0	27.9	25
Telferscot Primary School	299	15.6	30.3	31
Vauxhall Primary School	215	13.8	29.6	48
Walnut Tree Walk Primary School	277	13.7	29.2	29
Woodmansterne Primary School	504	14.2	30.4	20
Wyvil Primary School and Centre for Children With Speech and Language Impairment	506	12.4	27.8	32
Adamsrill Primary School	565	13.5	28.2	21
All Saints' Church of England Primary School	210	17.8	32.0	17
Ashmead Primary School	302	17.2	30.2	3
Athelney Primary School	505	14.1	27.9	23
Baring Primary School	271	15.8	30.0	24
Beecroft Garden Primary	311	12.8	30.2	33
Brindishe Green School	650	13.3	29.7	35
Brindishe Lee School	280	15.8	31.0	30
Childeric Primary School	467	12.5	27.8	49
Christ Church CofE Primary School	252	13.8	28.6	40
Cooper's Lane Primary School	536	15.2	29.9	15
Dalmain Primary School	415	14.8	28.2	50
Deptford Park Primary School	630	14.2	26.8	21
Downderry Primary School	497	13.1	28.5	13
Edmund Waller Primary School	462	14.7	27.9	26
Elfrida Primary School	406	13.7	29.1	44
Eliot Bank Primary School	553	15.9	31.2	22
Fairlawn Primary School	524	17.1	31.2	21
Forster Park Primary School	494	13.1	27.5	25
Good Shepherd RC School	275	14.9	28.7	48
Gordonbrock Primary School	572	15.7	30.6	26
Grinling Gibbons Primary School	307	14.0	33.0	15
Haseltine Primary School	390	13.8	30.2	25
Holbeach Primary School	498	14.9	29.8	24
Holy Cross Roman Catholic Primary School	262	15.4	30.9	17
Holy Trinity Church of England Primary School	193	15.1	27.6	15
Horniman Primary School	236	15.1	29.0	23
John Ball Primary School	515	16.2	31.4	10
John Stainer Community Primary School	296	15.4	30.1	34
Kelvin Grove Primary School	567	14.1	27.5	41
Kender Primary School	338	14.3	28.1	26
Kilmorie Primary School	428	15.2	30.7	13
Launcelot Primary School	446	13.5	29.8	27
Lee Manor School	476	13.5	30.1	41
Lucas Vale Primary School	392	13.7	29.3	23
Marvels Lane Primary School	414	13.4	27.6	16
Myatt Garden Primary School	513	16.0	29.8	32
Our Lady and St Philip Neri Roman Catholic Primary School	345	15.4	29.8	25
Perrymount Primary School	239	14.0	28.5	31
Prendergast - Vale College	510	13.3	26.7	59
Rangefield Primary School	447	14.1	30.0	25
Rathfern Primary School	484	13.9	30.8	33
Rushey Green Primary School	582	14.8	28.5	19
St Augustine's Catholic Primary School and Nursery	239	15.2	29.9	24
St Bartholomews's Church of England Primary School	300	15.7	29.3	25
St James's Hatcham Church of England Primary School	240	14.8	26.9	23
St John Baptist Southend Church of England Primary School	211	14.6	29.5	23
St Joseph's Catholic Primary School	279	14.4	28.6	23
St Margaret's Lee CofE Primary School	231	16.8	32.8	15
St Mary Magdalen's Catholic Primary School	199	15.6	29.1	26
St Mary's Lewisham Church of England Primary School	259	14.6	28.4	36
St Michael's Church of England Primary School	221	15.0	29.1	22
St Saviour's Catholic Primary School	232	14.4	29.4	15
St Stephen's Church of England Primary School	278	15.4	30.0	23
St William of York Catholic Primary School	273	16.1	29.2	30
St Winifred's Catholic Junior School	176	17.9	30.3	23
Sandhurst Junior School	311	17.2	30.1	21
Sir Francis Drake Primary School	201	15.9	30.7	13
Stillness Junior School	318	16.5	30.4	29
Tidemill Academy	463	13.9	29.2	29
Torridon Junior School	358	16.0	29.2	20
Turnham Primary School	533	15.2	28.6	22
Albion Primary School	248	12.4	29.3	50
Alfred Salter Primary School	459	13.6	28.4	23
Bellenden Primary School	271	15.1	29.8	39
Bessemer Grange Primary School	427	13.7	28.2	31
Boutcher Church of England Primary School	206	13.9	30.5	12
Brunswick Park Primary School	570	13.2	27.7	37
Camelot Primary School	528	14.8	28.3	33
The Cathedral School of St Saviour and St Mary Overy	220	15.8	32.1	29
Charles Dickens Primary School	340	15.5	29.1	25
Charlotte Sharman Primary School	350	13.4	26.9	6
Cobourg Primary School	411	13.5	27.9	23
Comber Grove School	333	15.0	27.1	33
Crampton School	242	14.1	28.9	20
Crawford Primary School	441	12.6	28.7	29
Dog Kennel Hill School	458	15.2	27.0	15
Dulwich Hamlet Junior School	358	16.9	31.3	13
English Martyrs Roman Catholic Primary School	461	14.7	27.2	21
Friars Primary Foundation School	226	15.4	28.7	32
Gloucester School	411	13.5	27.1	38
Goodrich Community Primary School	713	13.9	30.3	67
Goose Green Primary School	449	13.3	28.5	9
Grange Primary School	346	12.5	27.7	50
Harris Primary Academy Peckham Park	382	14.5	28.9	13
Heber Primary School	466	15.8	28.5	20
Hollydale Primary School	266	15.4	29.1	31
Ilderton Primary School	383	14.3	31.3	29
Ivydale Primary School	449	14.5	27.7	28
John Donne Primary School	472	13.8	30.2	34
John Ruskin Primary School and Language Classes	504	15.0	29.1	27
Keyworth Primary School	369	13.6	26.1	23
Langbourne Primary School	199	12.4	25.1	24
Lyndhurst Primary School	396	14.5	29.1	41
Michael Faraday School	393	14.3	27.5	45
Oliver Goldsmith Primary School	517	12.9	27.6	33
Peter Hills with St Mary's and St Paul's CofE Primary School	218	15.1	28.2	30
Phoenix Primary School	400	13.7	28.2	22
Pilgrims' Way Primary School	233	12.9	28.6	17
Redriff Primary School	427	15.6	29.3	49
Riverside Primary School	325	14.4	28.2	35
Robert Browning Primary School	352	13.3	27.4	34
Rotherhithe Primary School	447	12.9	27.7	25
Rye Oak School	486	12.2	26.1	31
St Anthony's Catholic Primary School	396	15.7	29.9	11
St Francesca Cabrini Primary School	438	15.6	28.0	20
St Francis RC Primary School	423	13.8	28.7	27
St George's Cathedral Catholic Primary School	353	14.8	29.5	45
St George's Church of England Primary School	186	15.2	27.9	24
St James' Church of England Primary School	518	14.6	28.1	30
St James the Great Roman Catholic Primary School	238	15.1	28.1	16
St Johns' and St Clements Church of England Primary School	415	14.9	28.4	24
St John's Roman Catholic Primary School	219	14.7	30.1	17
St John's Walworth Church of England Primary School	203	15.3	29.1	33
St Joseph's Catholic Junior School	239	16.1	27.1	29
St Joseph's Catholic Primary School	245	15.6	33.5	4
St Joseph's Catholic Primary School	224	15.3	29.3	25
St Joseph's Roman Catholic Primary School	342	15.6	31.9	21
St Jude's Church of England Primary School	159	13.7	27.4	32
St Mary Magdalene Church of England Primary School	203	15.4	29.2	13
St Paul's Church of England Primary School, Walworth	321	15.5	29.4	11
St Peter's Church of England Primary School	232	13.1	27.4	32
Snowsfields Primary School	227	13.6	28.4	29
Southwark Park School	457	13.5	27.9	27
Surrey Square Primary School	463	14.8	30.6	25
Tower Bridge Primary School	212	14.8	25.8	11
Townsend Primary School	268	15.7	28.3	16
Victory School	222	13.7	26.5	18
Arnhem Wharf Primary School	560	14.1	27.9	36
Bangabandhu Primary School	470	15.0	27.8	39
Ben Jonson Primary School	531	14.3	29.6	10
Bigland Green Primary School	476	15.2	27.2	17
Blue Gate Fields Junior School	349	15.8	29.2	24
Bonner Primary School	498	16.1	30.9	11
Bygrove Primary School	236	14.9	30.2	24
Canon Barnett Primary School	277	14.8	29.1	8
Cayley Primary School	539	15.0	27.7	32
Chisenhale Primary School	346	13.2	27.0	21
Christ Church CofE School	217	13.8	27.9	31
The Clara Grant Primary School	490	15.0	28.2	17
Columbia Primary School	442	14.3	27.7	18
Cubitt Town Junior School	355	15.5	27.8	17
Culloden Primary School	521	15.2	29.1	20
Cyril Jackson Primary School	479	12.6	27.8	25
English Martyrs Roman Catholic Primary School	224	16.4	28.8	42
Globe Primary School	367	14.4	30.6	14
Guardian Angels Roman Catholic Primary School	203	15.8	30.1	19
Hague Primary School	225	13.0	28.6	34
Halley Primary School	240	14.7	26.4	14
Harbinger Primary School	356	13.5	26.8	34
Harry Gosling Primary School	473	13.5	27.4	23
Hermitage Primary School	295	13.9	30.1	21
Holy Family Catholic School	243	14.7	28.3	37
John Scurr Primary School	480	13.4	28.0	8
Kobi Nazrul Primary School	241	13.3	25.8	36
Lansbury Lawrence Primary School	551	13.7	27.9	27
Lawdale Junior School	266	14.7	28.6	18
Malmesbury Primary School	590	14.6	28.5	26
Manorfield Primary School	646	14.3	27.8	25
Marion Richardson Primary School	478	15.3	29.6	17
Marner Primary School	573	14.4	28.4	59
Mayflower Primary School	356	15.4	30.6	13
Mowlem Primary School	229	12.7	28.5	21
Old Ford Primary School	733	15.3	29.8	24
Old Palace Primary School	418	15.0	30.1	14
Olga Primary School	234	13.3	27.6	45
Osmani Primary School	414	13.2	27.7	19
Our Lady Roman Catholic Primary School	198	14.5	28.4	28
Redlands Primary School	462	15.2	29.1	24
St Agnes RC Primary School	224	14.6	28.4	16
St Anne's Catholic Primary School	353	15.1	26.7	23
St Edmund's Catholic School	217	14.8	29.6	36
St Elizabeth Catholic Primary School	449	14.7	27.8	30
St John's Church of England Primary School	224	14.8	27.8	32
St Luke's Church of England Primary School	292	16.6	30.4	30
St Mary and St Michael Primary School	476	15.3	27.9	44
St Matthias Church of England Primary School	204	16.9	31.4	5
St Paul with St Luke CofE Primary School	254	14.8	27.9	16
St Paul's Whitechapel Church of England Primary School	228	14.6	31.5	21
St Peter's London Docks CofE Primary School	236	13.7	26.8	30
St Saviour's Church of England Primary School	227	15.7	29.2	30
Seven Mills Primary School	238	14.3	28.1	45
Shapla Primary School	212	14.7	28.7	17
Sir William Burrough Primary School	349	15.5	30.3	14
Smithy Street School	432	12.6	28.1	29
Stebon Primary School	479	15.8	29.0	24
The Stepney Greencoat Church of England Primary School	189	14.2	29.2	32
Stewart Headlam Primary School	451	15.2	29.0	36
Thomas Buxton Primary School	441	14.1	27.4	25
Virginia Primary School	220	13.8	29.2	8
Wellington Primary School	377	14.6	29.0	29
William Davis Primary School	225	14.9	29.6	15
Woolmore Primary School	271	14.6	29.4	14
Albemarle Primary School	240	15.0	30.7	7
Alderbrook Primary School	259	13.8	29.5	28
All Saints' CofE Primary School, Putney	252	17.3	32.0	19
Allfarthing Primary School	449	15.8	29.5	45
The Alton School	216	12.5	25.2	33
Beatrix Potter Primary School	364	16.7	28.8	16
Belleville Primary School	789	16.2	30.3	26
Brandlehow Primary School	289	16.3	31.8	20
Broadwater Primary School	477	15.1	28.8	33
Chesterton Primary School	422	15.3	31.6	16
Christ Church CofE Primary School	196	13.1	28.9	30
Eardley School	493	13.0	27.0	42
Earlsfield Primary School	482	14.9	29.8	21
Falconbrook Primary School	290	12.9	27.8	23
Fircroft Primary School	479	15.1	29.8	21
Franciscan Primary School	468	14.3	28.7	47
Furzedown Primary School	463	14.5	29.3	32
Gatton (VA) Primary School	417	13.7	29.0	32
Granard Primary School	400	13.7	27.7	49
Griffin Primary School	355	13.3	29.8	24
Heathmere Primary School	283	13.1	26.0	54
High View Primary School	309	15.1	29.6	34
Hillbrook School	501	14.1	28.3	21
Holy Ghost Catholic Primary School	209	17.5	31.8	19
Honeywell Junior School	359	18.2	31.6	15
Hotham Primary School	373	16.4	31.6	14
John Burns Primary School	208	15.0	29.6	37
Our Lady of Victories Catholic Primary School	198	18.3	32.6	8
Our Lady Queen of Heaven RC School	266	16.4	31.0	36
Penwortham Primary School	527	15.1	28.9	28
Ravenstone Primary School	450	15.6	29.4	26
Riversdale Primary School	280	13.4	29.3	26
Roehampton CofE Primary School	228	14.3	27.6	37
Ronald Ross Primary School	239	12.8	27.5	33
Sacred Heart Catholic Primary School, Battersea	445	15.7	29.8	33
Sacred Heart Catholic Primary School, Roehampton	382	14.2	29.1	29
St Anne's CofE Primary School	195	13.8	28.1	59
St Anselm's Catholic Primary School	201	17.4	32.5	3
St Boniface RC Primary School	361	15.8	31.3	36
St Faith's CofE Primary School	205	14.8	29.0	27
St George's CofE Primary School	222	15.4	31.2	62
St Joseph's RC Primary School	232	14.9	28.7	40
St Mary's CofE Primary School	251	17.2	32.8	22
St Mary's RC Voluntary Aided Primary School	174	13.4	27.6	50
St Michael's CofE Primary School	401	16.9	30.7	21
Sellincourt Primary School	462	14.8	29.1	27
Sheringdale Primary School	289	15.7	30.7	17
Smallwood Primary School and Language Unit	319	9.5	25.5	79
Southmead Primary School	385	12.9	27.7	24
Swaffield Primary School	493	13.2	26.9	42
Trinity St Mary's CofE Primary School	242	13.1	27.6	28
West Hill Primary School	287	14.0	29.0	36
Westbridge Primary School	245	14.4	27.8	26
Wix Primary School	310	15.1	29.9	21
All Souls CofE Primary School	188	15.7	29.3	12
Barrow Hill Junior School	231	14.8	29.3	31
Burdett-Coutts and Townshend Foundation CofE Primary School	350	14.3	28.8	20
Christ Church Bentinck CofE Primary School	255	14.3	30.2	24
Churchill Gardens Community Primary School	297	12.5	26.1	40
Edward Wilson Primary School	441	12.8	27.8	26
